order_id,order_date,customer_id,product_id,store_id,quantity,unit_price,discount,revenue,cost,profit,order_status
O000001,2025-08-02,C00105,P0097,S002,5,1686.8417237351211,0.0,8434.208618675606,849.7825340575203,4185.295948388005,Completed
O000002,2025-04-24,C00617,P0035,S002,1,1769.129510127903,0.0,1769.129510127903,859.3103436057877,909.8191665221152,Completed
O000003,2025-02-23,C00285,P0047,S004,3,1531.4392275203684,0.0,4594.317682561105,836.7729310839944,2083.998889309122,Completed
O000004,2022-11-23,C00390,P0044,S002,4,561.6229568935612,0.4,1347.8950965445467,787.9209954270376,1803.788885163604,Completed
O000006,2025-02-04,C00047,P0094,S006,2,1607.356658406681,0.0,3214.713316813362,1176.36000126801,861.9933142773416,Completed
O000007,2023-08-16,C00651,P0110,S001,7,1479.047100451205,0.0,10353.329703158435,1604.269957407315,876.5599986927682,Cancelled
O000008,2022-11-30,C00664,P0102,S006,3,1704.6157277532873,0.0,5113.847183259862,337.8075004305419,4100.424681968236,Completed
O000009,2025-06-01,C00389,P0047,S006,3,1531.4392275203684,0.1,4134.885914304995,836.7729310839944,1624.5671210530118,Cancelled
O000011,2024-04-01,C00672,P0102,S019,3,1704.6157277532873,0.0,5113.847183259862,337.8075004305419,-4100.424681968236,Returned
O000012,2024-03-21,C00575,P0083,S003,1,629.4026259652002,0.3,440.5818381756401,633.1609610054468,192.5791228298067,Cancelled
O000013,2025-04-12,C00506,P0028,S002,3,1607.2491532161218,0.0,4821.747459648365,606.736710579563,3001.537327909676,Completed
O000014,2022-04-07,C00395,P0020,S006,2,1139.573308471657,0.0,2279.146616943314,1011.9700999727892,255.2064169977357,Returned
O000016,2025-08-05,C00740,P0005,S004,2,1681.028619178414,0.0,3362.0572383568283,532.2965115850056,2297.464215186817,Cancelled
O000017,2024-10-22,C00520,P0065,S021,3,1655.8633369650167,0.1,4470.831009805545,1039.0832069034636,1353.5813890951545,Completed
O000018,2022-11-10,C00614,P0103,S005,7,1705.2277151127846,0.0,11936.594005789491,639.0965854709226,7462.917907493033,Cancelled
O000019,2024-09-27,C00581,P0094,S010,3,1607.356658406681,0.0,4822.069975220043,1176.36000126801,-1292.989971416012,Completed
O000020,2022-06-25,C00487,P0105,S005,3,1181.886115658219,0.3,2481.96084288226,940.780496023066,340.3806451869382,Completed
O000021,2023-06-27,C00731,P0104,S018,5,1574.2381870435063,0.0,7871.190935217533,720.6447031142851,4267.967419646107,Cancelled
O000022,2024-03-28,C00124,P0084,S005,1,1765.1678986565646,0.1,1588.6511087909082,280.2814343278883,1308.36967446302,Completed
O000023,2023-04-06,C00226,P0035,S002,5,1769.129510127903,0.0,8845.647550639515,859.3103436057877,4549.095832610576,Completed
O000024,2022-05-26,C00244,P0008,S001,4,1240.943978600886,0.4,2978.2655486421268,356.5011903792333,-1552.2607871251937,Cancelled
O000025,2025-10-02,C00485,P0047,S005,5,1531.4392275203684,0.0,7657.196137601842,836.7729310839944,3473.331482181869,Completed
O000027,2022-04-21,C00112,P0083,S004,3,629.4026259652002,0.4,1132.9247267373603,633.1609610054468,-766.55815627898,Completed
O000029,2022-06-04,C00016,P0047,S006,9,1531.4392275203684,0.0,13782.953047683315,836.7729310839944,6251.996667927366,Completed
O000030,2023-04-30,C00169,P0013,S004,8,1542.7386513719466,0.0,12341.909210975571,378.7947359883192,9311.55132306902,Returned
O000032,2022-11-14,C00766,P0102,S019,4,1704.6157277532873,0.0,6818.462911013149,337.8075004305419,5467.232909290981,Cancelled
O000033,2022-04-28,C00059,P0013,S005,6,1542.7386513719466,0.0,9256.43190823168,378.7947359883192,6983.663492301765,Completed
O000035,2025-03-31,C00536,P0053,S005,2,1748.2126740940705,0.0,3496.425348188141,275.94951834744853,2944.526311493244,Cancelled
O000036,2023-06-19,C00688,P0065,S004,2,1655.8633369650167,0.0,3311.726673930033,1039.0832069034636,1233.5602601231062,Cancelled
O000037,2024-07-25,C00103,P0053,S005,2,1748.2126740940705,0.0,3496.425348188141,275.94951834744853,2944.526311493244,Completed
O000038,2025-01-06,C00251,P0097,S003,2,1686.8417237351211,0.0,3373.6834474702423,849.7825340575203,1674.1183793552018,Cancelled
O000039,2023-08-07,C00684,P0047,S020,5,1531.4392275203684,0.0,7657.196137601842,836.7729310839944,3473.331482181869,Cancelled
O000040,2025-09-20,C00567,P0093,S001,3,1713.5477437053562,0.0,5140.643231116069,740.6553492678091,2918.6771833126413,Completed
O000044,2022-08-18,C00566,P0093,S003,5,1713.5477437053562,0.0,8567.738718526782,740.6553492678091,4864.461972187736,Completed
O000045,2024-05-30,C00216,P0005,S001,3,1681.028619178414,0.1,4538.777271781718,532.2965115850056,2941.887737026701,Completed
O000046,2025-09-27,C00243,P0047,S014,3,1531.4392275203684,0.0,4594.317682561105,836.7729310839944,1250.3993335854732,Completed
O000047,2022-12-29,C00394,P0004,S003,4,1535.1623392347294,0.1,5526.584421245026,705.0742422594221,2706.287452207337,Completed
O000048,2023-07-01,C00228,P0045,S001,9,1740.9281116643087,0.1,14101.5177044809,659.8815125907777,8162.584091163902,Completed
O000049,2024-07-31,C00409,P0070,S006,1,1688.8437954775063,0.0,1688.8437954775063,959.5815292476168,729.2622662298897,Cancelled
